iter	Passed	Remaining
961	4097	161
962	4098	157
963	4106	153
964	4108	149
965	4109	144
966	4110	140
967	4111	135
968	4112	131
969	4113	127
970	4115	122
971	4116	118
972	4117	114
973	4119	109
974	4120	105
975	4121	101
976	4131	97
977	4133	92
978	4134	88
979	4135	84
980	4136	80
981	4138	75
982	4140	71
983	4141	67
984	4142	63
985	4143	58
986	4144	54
987	4155	50
988	4156	46
989	4157	41
990	4158	37
991	4159	33
992	4161	29
993	4162	25
994	4163	20
995	4164	16
996	4165	12
997	4166	8
998	4167	4
999	4168	0
